,anio,eleccion,partido,votos,censo
0,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,73,60026
63,2010,CmaraNegritudes,ORGANIZACIONDECOMUNIDADESNEGRASENANTIOQUIAESTUDIANT,1,11707
62,2010,CmaraNegritudes,ORGANIZACIONANCESTRICAAFROCOLOMBIANAOANAC,6,59439
43,2010,CmaraNegritudes,FUNDACIONDEDESARROLLOSOCIALDEPORTIVACULTURALAMANDAS,1,4302
51,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLODECOMUNIDADESAFROCOLOMBIANA,4,45873
52,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLOINTEGRALDELAFRODECENDIENTE,3,4786
61,2010,CmaraNegritudes,MOVIMIENTOVOLUNTADPOPULAR,24,43821
60,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,37,65328
58,2010,CmaraNegritudes,MOVIMIENTONACIONALAFROCOLOMBIANOAFRO,8,64165
53,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLOINTEGRALPARALACOMUNIDADAF,1,28288
54,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLOYDEFENSADELOSDERECHOSDE,23,22140
50,2010,CmaraNegritudes,FUNDACIONNEGROSSINFRONTERASSINFRONTERAS,1,5099
49,2010,CmaraNegritudes,FUNDACIONNARIENSESAFROCOLOMBIANOSFORJADORESDELFUTURO,4,2921
48,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,40,58399
47,2010,CmaraNegritudes,FUNDACIONINTENSIDADFUNDAIN,3,3512
46,2010,CmaraNegritudes,FUNDACIONINTEGRACIONSOCIALAFROCOLOMBIANAFISA,15,35360
45,2010,CmaraNegritudes,FUNDACIONFUNDAPAS,8,20185
44,2010,CmaraNegritudes,FUNDACIONDEPORTIVAVIAFARAFUNDEVIA,3,31073
56,2010,CmaraNegritudes,FUNDAPALAFROCEROBATALAFUNDACIONAFROCERRITEOOBATALA,21,25766
55,2010,CmaraNegritudes,FUNDACIONSEMILLASSINODIOCOLOMBIA,5,10756
57,2010,CmaraNegritudes,MOVIMIENTOAFROAMBIENTALCOLOMBIANO,9,56701
65,2010,CmaraNegritudes,ORGANIZACIONDELASETNIASAFROCOLOMBIANOSRESIDENTESENM,10,11671
66,2010,CmaraNegritudes,ORGANIZACIONETNICACOMUNITARIAAFROCOLOMBIANAOECA,8,6448
64,2010,CmaraNegritudes,ORGANIZACIONDELASETNIASAFROCOLOMBIANASRESIDENTESENE,7,58234
80,2010,CmaraTerritorial,VOTOSBLANCOS,975,95397
79,2010,CmaraTerritorial,POLODEMOCRATICOALTERNATIVO,1477,92407
78,2010,CmaraTerritorial,PARTIDOVERDE,2640,96913
77,2010,CmaraTerritorial,PARTIDOSOCIALDEUNIDADNACIONALPARTIDODELAU,8096,96239
76,2010,CmaraTerritorial,PARTIDOLIBERALCOLOMBIANO,2994,95067
75,2010,CmaraTerritorial,PARTIDODEINTEGRACIONNACIONALPIN,349,84083
82,2010,CmaraTerritorial,VOTOSNULOS,5772,96226
73,2010,CmaraTerritorial,PARTIDOCAMBIORADICAL,484,88494
72,2010,CmaraTerritorial,MOVIMIENTOINDEPENDIENTEDERENOVACIONABSOLUTAMIRA,5914,96138
71,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,277,73010
70,2010,CmaraTerritorial,MOVIMIENTOAPERTURALIBERAL,86,58771
69,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,377,92023
81,2010,CmaraTerritorial,VOTOSNOMARCADOS,1218,93752
74,2010,CmaraTerritorial,PARTIDOCONSERVADORCOLOMBIANO,2308,96589
68,2010,CmaraNegritudes,VOTOSBLANCOS,256,79504
67,2010,CmaraNegritudes,ORGANIZACIONSOCIALDECOMUNIDADESNEGRASANGELADAVIS,4,16919
42,2010,CmaraNegritudes,FUNDACIONCULTURALRAICESNEGRAS,12,32821
59,2010,CmaraNegritudes,MOVIMIENTONACIONALCIMARRON,7,44893
40,2010,CmaraNegritudes,FUNDACIONAFROYCULTURALAESPERANZAFACE,4,22325
6,2010,CmaraNegritudes,ASOCIACIONAFRODECENDIENTEREVIVIRFERMINSALAS,6,43167
17,2010,CmaraNegritudes,ASOCIACIONDEPROFESIONALESAFROCOLOMBIANOSASOPRA,20,61573
16,2010,CmaraNegritudes,ASOCIACIONDEMUJERESAFROCOLOMBIANASHIJASDEYEMAYA,14,37978
15,2010,CmaraNegritudes,ASOCIACIONDEDESPLAZADOSDELACOSTAPACIFICARESIDENTES,5,49858
14,2010,CmaraNegritudes,ASOCIACIONDECOMUNIDADESNEGRASDEGUACOCHEVALLEDUPARC,2,16958
13,2010,CmaraNegritudes,ASOCIACIONDECOMUNIDADESAFROCOLOMBIANASDELMUNICIPIODE,13,41049
12,2010,CmaraNegritudes,ASOCIACIONDEAFRODESCENDIENTESDELMUNICIPIODENECOCLIA,8,38495
11,2010,CmaraNegritudes,ASOCIACIONDEAFROCOLOMBIANOSPARALAVIVIENDADEPORTEE,17,32217
7,2010,CmaraNegritudes,ASOCIACIONAFROMONTELIBANENSEANASTASIOSIERRACIMARRON,2,2510
