,anio,eleccion,partido,pais,votos,censo
0,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,ARGENTINA,5,2859
1,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,AUSTRALIA,3,491
2,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,AUSTRIA,1,398
3,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,BELGICA,1,1004
4,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,BRASIL,1,538
5,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,CANADA,4,3397
6,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,CHILE,2,2163
7,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,CHINAREPUBLICAPOPULAR,2,145
8,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,COSTARICA,2,6350
9,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,ECUADOR,3,3144
10,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,EGIPTO,1,95
11,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,ESPANA,3,11707
12,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,ESTADOSUNIDOS,21,5212
13,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,FRANCIA,3,3576
14,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,INGLATERRA,4,7055
15,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,ITALIA,1,1715
16,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,MEXICO,2,2522
17,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,PAISESBAJANTILLASHOLANDESAS,1,1148
18,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,REPUBLICADOMINICANA,1,1558
19,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,SUECIA,1,507
20,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,VENEZUELA,11,4442
21,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ALEMANIA,3,608
22,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ARGENTINA,3,2859
23,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,AUSTRALIA,4,491
24,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,BELGICA,1,1004
25,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,BRASIL,4,209
26,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,CANADA,1,3397
27,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ECUADOR,3,3144
28,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ESPANA,3,11707
29,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ESTADOSUNIDOS,7,4357
30,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,HOLANDA,1,410
31,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,MEXICO,4,2522
32,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,REPUBLICADOMINICANA,1,1558
33,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,SUIZA,2,1054
34,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,VENEZUELA,88,28288
35,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ALEMANIA,5,608
36,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ARGENTINA,16,2859
37,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,AUSTRALIA,3,491
38,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,AUSTRIA,1,398
39,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,BELGICA,3,1004
40,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,BRASIL,1,538
41,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,CANADA,6,3397
