,anio,eleccion,partido,pais,puesto,votos,censo
0,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,ARGENTINA,BuenosAiresConsulado,5,2859
1,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,AUSTRALIA,Brisbane,3,491
2,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,AUSTRIA,VienaConsulado,1,398
3,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,BELGICA,BruselasConsulado,1,1004
4,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,BRASIL,SaoPauloConsulado,1,538
5,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,CANADA,MontrealConsulado,4,3397
6,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,CHILE,SantiagoConsulado,2,2163
7,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,CHINAREPUBLICAPOPULAR,BeijingEmbajada,2,145
8,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,COSTARICA,SanJoseEmbajada,2,6350
9,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,ECUADOR,GuayaquilConsulado,3,3144
10,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,EGIPTO,ElCairoEmbajada,1,95
11,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,ESPANA,MadridConsulado,3,11707
12,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,ESTADOSUNIDOS,BostonConsulado,21,5212
13,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,FRANCIA,ParisConsulado,3,3576
14,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,INGLATERRA,LondresConsulado,4,7055
15,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,ITALIA,Milan,1,1715
16,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,MEXICO,MexicoConsulado,2,2522
17,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,PAISESBAJANTILLASHOLANDESAS,WillemstadCurazao,1,1148
18,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,REPUBLICADOMINICANA,SantoDomingoEmbajada,1,1558
19,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,SUECIA,EstocolmoConsulado,1,507
20,2010,CmaraIndgena,ALIANZASOCIALINDIGENA,VENEZUELA,BarinasConsulado,11,4442
21,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ALEMANIA,BerlinEmbajada,3,608
22,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ARGENTINA,BuenosAiresConsulado,3,2859
23,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,AUSTRALIA,Brisbane,4,491
24,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,BELGICA,BruselasConsulado,1,1004
25,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,BRASIL,RiodeJaneiroConsulado,4,209
26,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,CANADA,MontrealConsulado,1,3397
27,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ECUADOR,GuayaquilConsulado,3,3144
28,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ESPANA,MadridConsulado,3,11707
29,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ESTADOSUNIDOS,WashingtonConsulado,7,4357
30,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,HOLANDA,LaHayaConsulado,1,410
31,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,MEXICO,MexicoConsulado,4,2522
32,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,REPUBLICADOMINICANA,SantoDomingoEmbajada,1,1558
33,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,SUIZA,BernaConsulado,2,1054
34,2010,CmaraIndgena,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,VENEZUELA,CaracasConsulado,88,28288
35,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ALEMANIA,BerlinEmbajada,5,608
36,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ARGENTINA,BuenosAiresConsulado,16,2859
37,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,AUSTRALIA,Brisbane,3,491
38,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,AUSTRIA,VienaConsulado,1,398
39,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,BELGICA,BruselasConsulado,3,1004
40,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,BRASIL,SaoPauloConsulado,1,538
41,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,CANADA,MontrealConsulado,6,3397
42,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ECUADOR,QuitoConsulado,9,4302
43,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ELSALVADOR,SanSalvadorConsulado,1,351
44,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ESPANA,BarcelonaConsulado,14,11766
45,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ESTADOSUNIDOS,BostonConsulado,32,5212
46,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,FRANCIA,ParisEmbajada,7,1145
47,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,INGLATERRA,LondresConsulado,3,7055
48,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,ITALIA,Milan,4,1715
49,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,MEXICO,MexicoConsulado,1,2522
50,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,NICARAGUA,ManaguaEmbajada,2,182
51,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,PAISESBAJOSARUBA,OranjestadConsulado,2,2517
52,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,PANAMA,ColonConsulado,1,908
53,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,PUERTORICO,Mayaguez,2,102
54,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,SUECIA,EstocolmoConsulado,2,507
55,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,SUIZA,BernaConsulado,5,1054
56,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,URUGUAY,MontevideoConsulado,1,290
57,2010,CmaraIndgena,POLODEMOCRATICOALTERNATIVO,VENEZUELA,CaracasConsulado,49,28288
58,2010,CmaraIndgena,VOTOSBLANCOS,ALEMANIA,BerlinEmbajada,1,608
59,2010,CmaraIndgena,VOTOSBLANCOS,ARGENTINA,BuenosAiresConsulado,8,2859
60,2010,CmaraIndgena,VOTOSBLANCOS,AUSTRALIA,Melbourne,2,805
61,2010,CmaraIndgena,VOTOSBLANCOS,BELGICA,BruselasConsulado,1,1004
62,2010,CmaraIndgena,VOTOSBLANCOS,BRASIL,SaoPauloConsulado,1,538
63,2010,CmaraIndgena,VOTOSBLANCOS,CANADA,MontrealConsulado,15,3397
64,2010,CmaraIndgena,VOTOSBLANCOS,CHILE,SantiagoConsulado,4,2163
65,2010,CmaraIndgena,VOTOSBLANCOS,COSTARICA,SanJoseEmbajada,2,6350
66,2010,CmaraIndgena,VOTOSBLANCOS,ECUADOR,QuitoConsulado,12,4302
67,2010,CmaraIndgena,VOTOSBLANCOS,ESPANA,BarcelonaConsulado,29,11766
68,2010,CmaraIndgena,VOTOSBLANCOS,ESTADOSUNIDOS,AtlantaConsulado,57,5907
