anio,elec,partido,nomcandi,nomdepto,votos,censo
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,AMAZONAS,41,12405
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,ANTIOQUIA,1677,948328
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,ARAUCA,81,48663
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,ARCHIPIELAGODESANANDRES,12,16163
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,ATLANTICO,1606,223762
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,BOGOTA,1960,35871
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,BOLIVAR,556,293355
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,BOYACA,486,448056
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,CALDAS,328,204378
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,CAQUETA,234,124746
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,CASANARE,110,107223
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,CAUCA,548,259583
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,CESAR,532,228347
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,CHOCO,316,88041
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,CONSULADOS,90,80016
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,CORDOBA,496,282694
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,CUNDINAMARCA,717,736448
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,GUAINIA,7,14047
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,GUAVIARE,23,20522
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,HUILA,300,250821
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,LAGUAJIRA,180,132489
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,MAGDALENA,304,194513
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,META,178,152694
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,NARINO,551,304897
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,NORTEDESANTANDER,306,196236
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,PUTUMAYO,117,101697
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,QUINDIO,146,61552
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,RISARALDA,207,97725
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,SANTANDER,617,385261
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,SUCRE,464,213560
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,TOLIMA,504,301522
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,VALLEDELCAUCA,1122,245738
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,VAUPES,13,11642
2010,Presidencia1eravuelta,ALIANZASOCIALAFROCOLOMBIANAASA,JAIMEARAUJORENTERA,VICHADA,18,25392
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,AMAZONAS,41,10571
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,ANTIOQUIA,3760,982506
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,ARAUCA,124,48663
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,ARCHIPIELAGODESANANDRES,18,19695
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,ATLANTICO,611,214161
