,anio,elec,partido,votos,censo
0,2007,Alcalda,ABEJORRALVUELVEACREER,2920,12007
1,2007,Alcalda,ACCINCIUDADANAPORVILLADELEYVA,3129,7160
2,2007,Alcalda,ACCINCONELCARMEN,2295,4473
3,2007,Alcalda,ADELANTEOIBA,3672,7286
4,2007,Alcalda,ADELANTEVALLEDUPAR,32779,14786
5,2007,Alcalda,ADRIANARAMREZSUAREZ,2362,5450
6,2007,Alcalda,ALIANZAPORBELN,1540,3686
7,2007,Alcalda,ALIANZAPORLAGLORIA,6221,2236
8,2007,Alcalda,ALIANZAPORSONSN,3708,5600
9,2007,Alcalda,ALIANZASOCIALPORREMEDIOS,3104,9969
10,2007,Alcalda,ALIANZASOCIALYCIUDADANAPORELDONCELLO,2404,12422
11,2007,Alcalda,ALOBIEN,2683,8686
12,2007,Alcalda,ALTERNATIVALIBERALPARAELCAMBIOSOCIAL,2276,6238
13,2007,Alcalda,AMIGOSPORCAASGORDAS,4190,8877
14,2007,Alcalda,ANAPOIMADECARAALFUTURO,1796,6781
15,2007,Alcalda,ARMENIAPARAVIVIRYCRECER,8051,5037
16,2007,Alcalda,ARRIBABUCARAMANGA,52487,14139
17,2007,Alcalda,BELNUNMUNICIPIOPARATODOS,1350,5964
18,2007,Alcalda,CAJICDEPIE,7660,3079
19,2007,Alcalda,CALINOSERINDE,4727,11051
20,2007,Alcalda,CALIUNANUEVACIUDAD,222198,11051
21,2007,Alcalda,CAMBIOSALUDABLE,6845,7421
22,2007,Alcalda,CARTAGENASIPUEDE,425,13987
23,2007,Alcalda,CIRCASIALIBRE,6305,17558
24,2007,Alcalda,CIUDADANOSENACCIN,16028,8482
25,2007,Alcalda,CIUDADANOSSOLIDARIOSPORQUIMBAYA,6377,5221
26,2007,Alcalda,COMITCIUDADANODERESTREPOVALLEOSSA,2777,8700
27,2007,Alcalda,COMPROMISOPORZIPAQUIR,18021,6544
28,2007,Alcalda,COMPROMISOSOCIALPORTABIO,2322,10862
29,2007,Alcalda,COMUNITARIOYPARTICIPATIVO,3433,17240
30,2007,Alcalda,CONLASPILASBIENPUESTAS,761,2161
31,2007,Alcalda,CORPORACINPRIMEROQUIBD,7980,977
32,2007,Alcalda,DECAJICPARACAJIC,983,3079
33,2007,Alcalda,DIFERENCIA,314,6145
34,2007,Alcalda,DIOSYPUEBLO,609,2103
35,2007,Alcalda,DOSQUEBRADASDIGNA,33999,5272
36,2007,Alcalda,ELCOMPROMISOSIGUESIENDONUESTROPUEBLO,2786,5515
37,2007,Alcalda,ELIJABIEN,30924,10288
38,2007,Alcalda,ELIZABETHCRUZAMAYAALCALDESA,622,2961
39,2007,Alcalda,ENCIUDADBOLVARTODOSCONTAMOS,1175,18486
40,2007,Alcalda,ESEESCONVERGENCIA,9461,10288
41,2007,Alcalda,EXPERIENCIACONCOMPROMISOSOCIAL,3347,11374
42,2007,Alcalda,FIRMECONACACIAS,4413,7421
43,2007,Alcalda,FORTALEZAZAPATOCA,1280,6179
44,2007,Alcalda,FUERZARENOVADORA,1416,4750
45,2007,Alcalda,GRANADAPARATODOS,684,9073
46,2007,Alcalda,GRUPOCIVICOALTERNATIVACOMUNITARIA,1227,11075
47,2007,Alcalda,HACIAUNNUEVOROSAS,2048,5204
48,2007,Alcalda,HIJOSYAMIGOSDESALENTO,271,4755
49,2007,Alcalda,IDENTIDADPORLAMESA,1774,14746
50,2007,Alcalda,INTEGRACINPROGRESISTAPOLICARPENSE,2337,3710
51,2007,Alcalda,JULIOCESARGOMEZALCALDE,1577,5696
52,2007,Alcalda,JUNTOSSIPODEMOS,1647,4641
53,2007,Alcalda,JUSTICIA,4095,9463
54,2007,Alcalda,LACEJAESGENTEHONESTA,14843,5182
55,2007,Alcalda,LAOBRACONTINUA,14143,6201
56,2007,Alcalda,LAVIRGINIAENBUENASMANOS,8751,3918
57,2007,Alcalda,LEONARDORICOALCALDE,1818,7798
58,2007,Alcalda,LIBERCON,1420,2367
59,2007,Alcalda,MOGOTESSOMOSTODOS,1253,4930
60,2007,Alcalda,MOVCOMPORLAINTEGRACINYELDESARROLLODEPEZ,3901,5175
61,2007,Alcalda,MOVIMIENTO1,1717,4098
62,2007,Alcalda,MOVIMIENTOALASEQUIPOCOLOMBIA,684875,2449588
63,2007,Alcalda,MOVIMIENTOALIANZAPARAELDESARROLLO,3195,7756
64,2007,Alcalda,MOVIMIENTOALIANZASOCIALAFROCOLOMBIANAASA,90938,666679
65,2007,Alcalda,MOVIMIENTOALIANZASOCIALINDGENA,874612,1584306
66,2007,Alcalda,MOVIMIENTOALTERNATIVACOMUNITARIA,3873,4626
67,2007,Alcalda,MOVIMIENTOALTERNATIVAPOPULARINDEPENDIENTE,2958,10800
68,2007,Alcalda,MOVIMIENTOALTERNATIVOSOCIALENACCIN,1240,9330
69,2007,Alcalda,MOVIMIENTOAPERTURALIBERAL,355395,1500905
70,2007,Alcalda,MOVIMIENTOAUTORIDADESINDGENASDECOLOMBIA,84085,447833
71,2007,Alcalda,MOVIMIENTOCOLOMBIAVIVA,192273,966972
72,2007,Alcalda,MOVIMIENTOCOMUNITARIOPORLARESTAURACINSOCIALDEMAGANGU,19700,7104
73,2007,Alcalda,MOVIMIENTOCVICOBIENESTARPORGALERAS,4159,9277
74,2007,Alcalda,MOVIMIENTOCVICOCAMPESINODECIMITARRA,35,15191
75,2007,Alcalda,MOVIMIENTOCVICOCANDIDATURAINDEPENDIENTE,5956,13368
76,2007,Alcalda,MOVIMIENTOCVICOCOMUNAL,2533,7568
77,2007,Alcalda,MOVIMIENTOCVICODESANJOSDELPALMARCHOC,957,1801
78,2007,Alcalda,MOVIMIENTOCVICOHERNANDOBAUTISTAALCALDE,657,6654
79,2007,Alcalda,MOVIMIENTOCVICOINDEPENDIENTEDECACOTA,878,2089
80,2007,Alcalda,MOVIMIENTOCVICOINTEGRACINDECOMUNIDADES,693,1965
81,2007,Alcalda,MOVIMIENTOCVICOJUNTOSPORGARAGOA,3592,10524
82,2007,Alcalda,MOVIMIENTOCVICOPARAELDESARROLLOINTEGRALDEMONGUA,474,2945
83,2007,Alcalda,MOVIMIENTOCVICOPEREIRADETODOSYPARATODOS,6761,8783
84,2007,Alcalda,MOVIMIENTOCVICOPORLADIGNIDADLAUNIDADYRECONCILIACIN,2352,4574
85,2007,Alcalda,MOVIMIENTOCVICOPORSALGAR,594,10220
86,2007,Alcalda,MOVIMIENTOCVICOSUBACHOQUE,3113,7568
87,2007,Alcalda,MOVIMIENTOCVICOYCOMUNITARIO,3266,6760
88,2007,Alcalda,MOVIMIENTOCVICOYONDCOMUNITARIO,861,6760
89,2007,Alcalda,MOVIMIENTODEINTEGRACINDELEIVANA,2222,3841
90,2007,Alcalda,MOVIMIENTODEINTEGRACINPORSANCARLOS,437,3064
91,2007,Alcalda,MOVIMIENTODEINTEGRACINPORUNYACUANQUERMSHUMANOYJUSTO,2682,4837
92,2007,Alcalda,MOVIMIENTODEPARTICIPACINDEMOCRTICA,1641,1588
93,2007,Alcalda,MOVIMIENTODERECONCILIACINDEMOCRTICAMRD,1776,12215
94,2007,Alcalda,MOVIMIENTODESALVACINNACIONAL,56048,31655
95,2007,Alcalda,MOVIMIENTODEUNIDADCACEREA,2160,7296
96,2007,Alcalda,MOVIMIENTOINDEPENDIENTEMISINLACRUZ,3728,7700
97,2007,Alcalda,MOVIMIENTOINDEPENDIENTEOBRERO,2351,9102
98,2007,Alcalda,MOVIMIENTOINDEPENDIENTETODOSPORCABRERA,542,2961
99,2007,Alcalda,MOVIMIENTOINTEGRACINPROGRESISTA,3157,6789
100,2007,Alcalda,MOVIMIENTOLAHUELLA,1357,7513
101,2007,Alcalda,MOVIMIENTOMIRA,33888,53584
102,2007,Alcalda,MOVIMIENTONACIONALAFROCOLOMBIANOAFRO,461341,574644
103,2007,Alcalda,MOVIMIENTOPOLTICOOPCINPASTO,47151,10525
104,2007,Alcalda,MOVIMIENTOPOPULARPORCAJIC,2818,3079
105,2007,Alcalda,MOVIMIENTOPOPULARTU,3201,3882
106,2007,Alcalda,MOVIMIENTOPORLAHUMANIZACINSANTAROSEA,95,6604
107,2007,Alcalda,MOVIMIENTOSOCIALINDEPENDIENTE,2195,10230
108,2007,Alcalda,MOVIMIENTOSOCIALREDCIUDADANA,5837,18267
109,2007,Alcalda,MOVIMIENTOUNE,2180,4553
110,2007,Alcalda,MOVIMIENTOUNIDOPORBUESACO,4278,8236
111,2007,Alcalda,MOVIMIENTOVIVE,777,5040
112,2007,Alcalda,NUESTRADECISIN,2519,13012
113,2007,Alcalda,NUESTROCOMPROMISOGRANADA,4973,10241
114,2007,Alcalda,NUEVAFUERZACOLEGIUNA,4449,13041
115,2007,Alcalda,OPCINSALGAR,766,10220
116,2007,Alcalda,PACHOCVICOINDEPENDIENTEPACIN,3240,17965
117,2007,Alcalda,PARTICIPACINEQUIDADYFUTURO,1026,12563
